0001001	Dome Real Angle
0001002	Dome CMD Angle
0001003	Dome Angle Error
0001004	Dome Rate REF
0001005	Dome Rate FDBK-1
0001006	Dome Rate FDBK-2
0001007	Dome Rate FDBK-3
0001008	Dome Rate FDBK-4
0001009	Dome Current REF-1
000100A	Dome Current REF-2
000100B	Dome Current REF-3
000100C	Dome Current REF-4
000100D	Dome Position Mode
000100E	Dome Test Mode
000100F	Dome Test Pattern
0001010	Dome Test Result
0001011	Dome S/W Slave Limit +
0001012	Dome Drive On
0001013	Dome Drive Off
0001014	DCDLCL Power On
0001015	DCDLCL Power Off
0001016	Dome Cable Overlap +
0001017	Dome Cable Overlap -
0001018	Dome 1st Limit +
0001019	Dome 1st Limit -
000101A	Dome 2nd Limit +
000101B	Dome 2nd Limit -
000101C	Dome Limit Reset +
000101D	Dome Limit Reset -
000101E	Safety SW1(SS1)
000101F	Safety SW2(SS2)
0001020	Safety SW3(SS3)
0001021	Safety SW4(SS4)
0001022	Safety SW5(SS5)
0001023	Safety SW6(SS6)
0001024	Safety SW7(SS7)
0001025	Safety SW8(SS8)
0001026	Safety SW9(SS9)
0001027	Safety SW10(SS10)
0001028	Safety SW11(SS11)
0001029	Safety SW12(SS12)
000102A	Safety SW13(SS13)
000102B	Safety SW14(SS14)
000102C	Safety SW15(SS15)
000102D	Exit Door(IR) Open(DL51)
000102E	Exit Door(Opt) Open(DL52)
000102F	EMER SW1(ES1)
0001030	EMER SW2(ES2)
0001031	EMER SW3(ES3)
0001032	EMER SW4(ES4)
0001033	EMER SW5(ES5)
0001034	Mirror Hatch Open
0001035	Crane Not Hook Up
0001036	Hoist Not Hook Up
0001037	DCDLCL Opt DPA Fault
0001038	DCDCU-DRPU Alarm
0001039	DCDCU EXT CLK Alarm
000103A	Dome Control MLP1 Master
000103B	Dome Control Dome Master
000103C	Dome Control DRPU Master
000103D	Dome ENCDR Alarm
000103E	CP1 Master Local Selected
000103F	CP1 Master Off Selected
0001040	CP1 Master Remote Selected
0001041	CP1 Master Ready
0001042	CP1 Dome Rotation Local
0001043	CP1 Dome Rotation Off
0001044	CP1 Dome Rotation Remote
0001045	CP1 Dome Rotation Ready
0001046	CP1 DRPU VEL Selected
0001047	CP1 DRPU TRQ Selected
0001048	CP1 EXT CMPTR VEL Selected
0001049	DCDCU Drive Safety
000104A	DRPU Fault
000104B	DRPU Total Fan Alarm
000104C	DLCL-DRPU Alarm
000104D	DRPU Local
000104E	DRPU MAINT
000104F	MLP1-Dome Alarm
0001050	Mount-Dome Alarm
0001051	Dome Control DLCL Master
0001052	DRPU-Dome Alarm
0001053	Dome Local
0001054	Dome MAINT
0001055	Dome Fault
0001056	DCDCU Total Fan Alarm
0001057	Dome Drive On Ready
0001058	Dome 1st Slave Limit +
0001059	Dome 1st Slave Limit -
000105A	AZ MAINT Door1
000105B	AZ MAINT Door2
000105C	IR VME Door Open on DRDR
000105D	Opt VME Door Open on DRDR
000105E	AZ Fix Pin On(From Dome)
000105F	AZ Fix Pin Handle(From Dome)
0001060	Dome EMER Stop
0001061	DCDLCL PLC Alarm
0001062	COML PWR Fault on DRDR
0001063	Dome 2nd Slave Limit +
0001064	Dome 2nd Slave Limit -
0001065	DCDRPU EMER Stop
0001066	Dome Slew Mode
0001067	Dome S/W Slave Limit -
0001068	DCDLCL IR DPA Fault
0001069	Dome Data SMPLG Time ANS
000106A	Dome CMD VEL ANS
000106B	Dome Data SMPLG INTVL
000106C	Dome Loop Test Ready
000106D	Dome Loop Testing
000106E	Dome Loop Test Data Send
000106F	Dome Loop Test Last Data
0001070	Dome Control Mount Master
0001071	Mount-Dome Local SYNC on DRDR
0001072	Mount-Dome Local ASYNC on DRDR
0001073	Mount-Dome Remote SYNC on DRDR
0001074	Mount-Dome Remote ASYNC on DRDR
0001075	DCDRPU EXT CLK Alarm
0001076	Dome Interlock
0001077	Hydrostatic Alarm
0002001	AZ Real Angle
0002002	EL Real Angle
